0.0 4.5 0.0
0.116978 4.43969 0.321394
0.219846 4.26604 0.604023
0.296198 4.0 0.813798
0.336824 3.67365 0.925417
0.336824 3.32635 0.925417
0.296198 3.0 0.813798
0.219846 2.73396 0.604023
0.116978 2.56031 0.321394
0.0 2.5 0.0
-0.116978 2.56031 -0.321394
-0.219846 2.73396 -0.604023
-0.296198 3.0 -0.813798
-0.336824 3.32635 -0.925417
-0.336824 3.67365 -0.925417
-0.296198 4.0 -0.813798
-0.219846 4.26604 -0.604023
-0.116978 4.43969 -0.321394
-0.734292 4.43163 0.26726
-0.607473 4.37224 0.585072
-0.476269 4.20123 0.857388
-0.356506 3.93923 1.05136
-0.262627 3.61784 1.1436
-0.205956 3.27582 1.12297
-0.19333 2.95442 0.991971
-0.226269 2.69242 0.766396
-0.300803 2.52141 0.473453
-0.40794 2.46202 0.148478
-0.534758 2.52141 -0.169334
-0.665962 2.69242 -0.44165
-0.785726 2.95442 -0.635624
-0.879605 3.27582 -0.727861
-0.936275 3.61784 -0.707234
-0.948902 3.93923 -0.576233
-0.915962 4.20123 -0.350657
-0.841429 4.37224 -0.0577152
-1.44627 4.22862 0.5264
-1.30991 4.17195 0.840739
-1.15123 4.00877 1.10306
-0.989377 3.75877 1.28171
-0.843864 3.4521 1.35515
-0.732245 3.12575 1.31453
-0.667983 2.81908 1.16473
-0.65883 2.56908 0.923835
-0.705889 2.4059 0.620893
-0.803484 2.34923 0.292444
-0.939845 2.4059 -0.0218947
-1.09852 2.56908 -0.284211
-1.26038 2.81908 -0.462864
-1.40589 3.12575 -0.536307
-1.51751 3.4521 -0.495681
-1.58177 3.75877 -0.345887
-1.59093 4.00877 -0.10499
-1.54387 4.17195 0.197952
-2.11431 3.89711 0.769545
-1.969 3.84489 1.08063
-1.78454 3.6945 1.33356
-1.58319 3.4641 1.49784
-1.38923 3.18147 1.55365
-1.22605 2.88071 1.49426
-1.11334 2.59808 1.32683
-1.06469 2.36767 1.07156
-1.08597 2.21729 0.759232
-1.17462 2.16506 0.427525
-1.31993 2.21729 0.116445
-1.50439 2.36767 -0.136489
-1.70574 2.59808 -0.300767
-1.8997 2.88071 -0.356577
-2.06287 3.18147 -0.297186
-2.17558 3.4641 -0.129757
-2.22423 3.6945 0.125514
-2.20295 3.84489 0.437838
-2.7181 3.4472 0.989308
-2.5647 3.401 1.29744
-2.35694 3.26798 1.5419
-2.11989 3.06418 1.69318
-1.88214 2.81418 1.73305
-1.67237 2.54813 1.6567
-1.51587 2.29813 1.47334
-1.43152 2.09433 1.20507
-1.42951 1.96131 0.884268
-1.51006 1.91511 0.549616
-1.66346 1.96131 0.24148
-1.87122 2.09433 -0.00297278
-2.10827 2.29813 -0.154259
-2.34602 2.54813 -0.19413
-2.55579 2.81418 -0.117779
-2.71229 3.06418 0.0655875
-2.79663 3.26798 0.333851
-2.79865 3.401 0.654656
-3.23931 2.89254 1.17901
-3.07892 2.85378 1.4846
-2.85105 2.74216 1.72174
-2.58319 2.57115 1.86181
-2.30764 2.36138 1.88792
-2.05764 2.13814 1.79693
-1.86334 1.92836 1.59981
-1.74818 1.75735 1.32033
-1.72605 1.64573 0.992201
-1.79962 1.60697 0.655007
-1.96001 1.64573 0.349413
-2.18787 1.75735 0.112281
-2.45574 1.92836 -0.0277897
-2.73129 2.13814 -0.0539036
-2.98129 2.36138 0.0370889
-3.17558 2.57115 0.234213
-3.29074 2.74216 0.513692
-3.31287 2.85378 0.841817
-3.66209 2.25 1.33289
-3.49603 2.21985 1.63642
-3.25185 2.13302 1.86762
-2.95899 2.0 1.99859
-2.65278 1.83682 2.01354
-2.37015 1.66318 1.91068
-2.1452 1.5 1.70239
-2.00504 1.36698 1.41382
-1.96659 1.28015 1.07975
-2.03449 1.25 0.740495
-2.20055 1.28015 0.436964
-2.44473 1.36698 0.20577
-2.73759 1.5 0.0747968
-3.0438 1.66318 0.0598427
-3.32643 1.83682 0.162711
-3.55139 2.0 0.370995
-3.69154 2.13302 0.659572
-3.72999 2.21985 0.993635
-3.9736 1.53909 1.44627
-3.80337 1.51846 1.74828
-3.54717 1.45907 1.9751
-3.23589 1.36808 2.09937
-2.90709 1.25646 2.1061
-2.60042 1.13768 1.99449
-2.35287 1.02606 1.77798
-2.1943 0.935068 1.4827
