[	226	228	227	]
[	226	229	228	]
[	226	224	229	]
[	230	224	231	]
[	230	229	224	]
[	230	232	229	]
[	230	233	232	]
[	230	234	233	]
[	230	231	234	]
[	236	239	238	]
[	236	240	239	]
[	236	228	240	]
[	236	227	228	]
[	241	228	229	]
[	241	240	228	]
[	241	239	240	]
[	241	242	239	]
[	241	232	242	]
[	241	229	232	]
[	243	232	233	]
[	243	244	232	]
[	243	245	244	]
[	243	246	245	]
[	243	247	246	]
[	243	233	247	]
[	248	244	245	]
[	248	242	244	]
[	248	238	242	]
[	238	239	242	]
[	242	232	244	]
[	445	447	446	]
[	448	449	447	]
[	449	444	447	]
[	447	444	446	]
[	446	444	442	]
[	233	450	247	]
[	247	450	246	]
[	246	450	442	]
[	442	450	446	]
[	446	450	445	]
[	445	450	233	]
[	451	452	445	]
[	445	452	447	]
[	447	452	448	]
[	448	452	453	]
[	453	452	454	]
[	454	452	451	]
[	458	457	454	]
[	454	457	453	]
[	453	457	448	]
[	448	457	449	]
[	231	465	234	]
[	234	465	233	]
[	233	465	445	]
[	445	465	451	]
[	451	465	464	]
[	464	465	231	]
[	464	466	451	]
[	451	466	454	]
[	454	466	458	]
